j	n_j
7688	1
7721	1
7795	1
7803	1
7815	1
7889	1
7892	1
7934	1
7985	1
8063	1
8080	1
8145	1
8173	1
8255	1
8278	1
8313	1
8396	1
8513	1
8525	1
8581	1
8922	1
8996	1
9018	1
9026	1
9098	1
9211	1
9354	1
9389	1
9412	1
9479	1
9996	1
10039	1
10082	1
10163	1
10167	1
10177	1
10293	1
10446	1
10561	1
10580	1
10654	1
10889	1
10892	1
10947	1
11315	1
11345	1
11360	1
11371	1
11554	1
11731	1
11793	1
11883	1
12316	1
12401	1
12588	1
12664	1
12724	1
12791	1
13139	1
13240	1
13319	1
13376	1
13704	1
13708	1
13732	1
13797	1
13813	1
13818	1
13992	1
14062	1
14101	1
14202	1
14266	1
14634	1
15047	1
15403	1
15537	1
15587	1
15594	1
16160	1
16326	1
16430	1
16512	1
16719	1
16979	1
17110	1
17153	1
17217	1
17241	1
17318	1
17626	1
17972	1
18637	1
18796	1
18875	1
19899	1
20403	1
21258	1
21466	1
21960	1
22278	1
22727	1
23589	1
24174	1
24905	1
25346	1
26688	1
26988	1
28280	1
28585	1
28800	1
29579	1
30191	1
30890	1
31111	1
32539	1
35365	1
35671	1
35828	1
35845	1
35981	1
36029	1
36358	1
36528	1
36722	1
36809	1
36844	1
36846	1
37121	1
37247	1
37622	1
37679	1
37976	1
39164	1
39922	1
40195	1
40901	1
41597	1
43928	1
46208	1
49750	1
50720	1
51012	1
51665	1
51786	1
55738	1
56805	1
60484	1
63907	1
67330	1
67726	1
73533	1
73661	1
76400	1
78946	1
79076	1
82265	1
84554	1
90371	1
94591	1
100277	1
103924	1
108163	1
110103	1
116632	1
120027	1
128145	1
134372	1
143264	1
147019	1
155837	1
157757	1
166966	1
177541	1
178419	1
184352	1
195316	1
196499	1
205614	1
210336	1
219614	1
422777	1
479143	1
513898	1
542083	1
571936	1
601392	1
633540	1
639039	1
665516	1
